,tag
494,#2_Temp_preklop_poletje_DK3_HL
495,#2_Temp_prostor_dnevna_OK3
496,#2_Temp_prostor_nocna_OK3
497,#2_Temp_za_preklop_zima_DK3
498,#2_Tipalo_RF3
499,#2_Tocka_1_20st_HL_DK3
500,#2_Tocka_2_30st_HL_DK3
501,#2_Zamik_krivulje_DK3
502,#2_Sobni_3_DPWT_PGD1
503,#2_Min_VF_DK3_HL
504,#2_Cas_zakasn_izkl_C3
505,#2_Kalibracija_RF3
506,#2_Aktiv_avtom_preklop_zima_DK3
507,#2_Aktiv_avtom_preklop_poletje_DK3
508,#2_Cas_ur_preklop_poletje_DK3_HL
509,#2_Cas_ur_preklop_zima_DK3
510,#2_Izbira_TIMERJA_MK3
511,#2_HITRI_Rezim
512,#2_Pogoj_maska_napis_ogrevanje
513,#2_Pogoj_maska_napis_hlajenje
514,#2_Odtaljevanje_izhod
515,#2_Zahtevana_RF_MK_2
516,#2_Temp_VF2
517,#2_Zahtevana_RF_DK_3
518,#2_Delovanje_MP2
519,#2_PARTY
520,#2_ECO
521,#2_ECO_cas
522,#2_PARTY_cas
523,#2_POCITNISKI
524,#2_NORMALNO_DELOVANJE
525,#2_Dan_pocitniski
526,#2_Leto_pocitniski
527,#2_Mesec_pocitniski
528,#2_GESLO_PGDT
529,#2_POVEZAVA
530,#2_GESLO_PGDT_Vklop
531,#2_Izbira_TIMERJA_TISJE
532,#2_Kontakt_ekst_vklop_3_NC_NO
533,#2_Max_cas_test_C0
534,#2_Preostanek_sekund_C0
535,#2_Preostanek_sekund_C1
536,#2_Preostanek_sekund_C2
537,#2_Preostanek_sekund_C3
538,#2_Preostanek_sekund_MP1_ODP
539,#2_Preostanek_sekund_MP1_ZAP
540,#2_Preostanek_sekund_MP2_ODP
541,#2_Preostanek_sekund_MP2_ZAP
542,#2_Preostanek_sekund_PV_OGR
543,#2_Preostanek_sekund_PV_SV
544,#2_TEST_PV_SV
545,#2_TEST_PV_OGR
546,#2_TEST_MP2_ZAP
547,#2_TEST_MP2_ODP
548,#2_TEST_MP1_ZAP
549,#2_TEST_MP1_ODP
550,#2_TEST_C3
551,#2_TEST_C2
552,#2_TEST_C1
553,#2_TEST_C0
554,#2_CURRENT_DAY
555,#2_CURRENT_MINUTE
556,#2_CURRENT_MONTH
557,#2_CURRENT_SECOND
558,#2_CURRENT_YEAR
559,#2_NEW_DAY
560,#2_NEW_HOUR
561,#2_NEW_MINUTE
562,#2_NEW_MONTH
563,#2_NEW_YEAR
564,#2_CURRENT_HOUR
565,#2_Nastavitev_Minuta
566,#2_Novo_Geslo
567,#2_NOVO_GESLO_PGDT
568,#2_CAS_GESLO_PGDT
569,#2_Shema_ZALOG
570,#2_Potrdi_GESLO_Vklop
571,#2_SET_MINUTE
572,#2_SET_HOUR
573,#2_SET_MONTH
574,#2_SET_YEAR
575,#2_SET_DAY
576,#2_Shema_DK3
577,#2_Shema_MK1
578,#2_Shema_MK2
579,#2_Shema_SOLAR
580,#2_Shema_SV
581,#2_Vrsta_alarma
582,#2_JE_ALARM
583,#2_PogojPGDT_Shema_OK2
584,#2_PogojPGDT_Shema_OK1
585,#2_PogojPGDT_Shema_in_tipalo_OK1
586,#2_PogojPGDT_Shema_in_tipalo_OK2
587,#2_PogojPGDT_Shema_in_tipalo_OK3
588,#2_PogojPGDT_Shema_in_tipalo_SV
589,#2_PogojPGDT_Shema_in_Upor_SV
590,#2_PogojPGDT_Shema_in_Upor_OK3
591,#2_PogojPGDT_Shema_in_Upor_OK2
592,#2_PogojPGDT_Shema_in_Upor_OK1
593,#2_PogojPGDT_Shema_in_Servisni_SV
594,#2_PogojPGDT_Shema_in_Servisni_OK3
595,#2_PogojPGDT_Shema_in_Servisni_OK2
596,#2_PogojPGDT_Shema_in_Servisni_OK1
597,#2_Reset_ALARMA_iz_PGDT
598,#2_Reset_KODE_iz_PGDT
599,#2_HITRI_Rezim_Hlajenje
600,#2_HITRI_Rezim_Izklop
601,#2_HITRI_Rezim_Ogrevanje
602,#2_Ponoci_min_temp_IZKLOP_MK2
603,#2_Pogoj_ikona_ele_grelca_3
604,#2_Pogoj_ikona_ele_grelca_2
605,#2_Pogoj_ikona_ele_grelca_1
606,#2_Signal_PV
607,#2_Signal_EVU
608,#2_PogojPGDT_N_OSN_ON_SV
609,#2_PogojPGDT_N_OSN_ON_OK3
610,#2_PogojPGDT_N_OSN_ON_OK2
611,#2_PogojPGDT_N_OSN_ON_OK1
612,#2_PogojPGDT_N_OSN_OFF_SV
613,#2_PogojPGDT_N_OSN_OFF_OK3
614,#2_PogojPGDT_N_OSN_OFF_OK2
615,#2_PogojPGDT_N_OSN_OFF_OK1
616,#Tag1
617,#2_Dif_za_MAX_SOLAR_PWM
618,#2_SOLAR_Crpalka_PWM
619,#2_Odstotki_SOLAR_PWM
620,#2_TEST_ODZRA
621,#2_Preostanek_sekund_ODZRA
622,#2_Vstavi_Geslo_EH
623,#2_Novo_Geslo_EH
624,#2_Vstavi_Geslo_EH_MASKA
625,#2_Vstavi_Geslo_EH_TOUCH
626,#2_Legionela_MAX_CAS
627,#2_Dod_Vir_Rocno_Avtom
628,#2_Izrac_temp_OGR
629,#2_Kalibracija_Zalog
630,#2_Max_Temp_ZALOG_za_PV_f
631,#2_Max_Temp_BF_za_PV_f
632,#2_Ura_DEFROSTA_1
633,#2_Min_DEFROSTA_1
634,#2_Dan_DEFROSTA_1
635,#2_Mesec_DEFROSTA_1
636,#2_Leto_DEFROSTA_1
637,#2_Sec_DEFROSTA_1
638,#2_Ura_DEFROSTA_2
639,#2_Min_DEFROSTA_2
640,#2_Sec_DEFROSTA_2
641,#2_Dan_DEFROSTA_2
642,#2_Mesec_DEFROSTA_2
643,#2_Leto_DEFROSTA_2
644,#2_Ura_DEFROSTA_5
645,#2_Min_DEFROSTA_5
646,#2_Sec_DEFROSTA_5
647,#2_Dan_DEFROSTA_5
648,#2_Mesec_DEFROSTA_5
649,#2_Leto_DEFROSTA_5
650,#2_Ura_DEFROSTA_4
651,#2_Min_DEFROSTA_4
652,#2_Sec_DEFROSTA_4
653,#2_Dan_DEFROSTA_4
654,#2_Mesec_DEFROSTA_4
655,#2_Leto_DEFROSTA_4
656,#2_Ura_DEFROSTA_3
657,#2_Min_DEFROSTA_3
658,#2_Sec_DEFROSTA_3
659,#2_Dan_DEFROSTA_3
660,#2_Mesec_DEFROSTA_3
661,#2_Leto_DEFROSTA_3
662,#2_Povec_temp_TC_pri_ZALOG
663,#2_Max_Temp_ZALOG_za_SOLAR
664,#2_Max_varn_Temp_Zalog_za_SOLAR
665,#2_Cas_osvezevanja_RF1
666,#2_NAPAKA
667,#2_Cas_osvezevanja_RF2
668,#2_Cas_osvezevanja_RF3
669,#2_Vklop_ele_grelca_SV
670,#2_Ogr_SV_z_ELHSV_TC
671,#2_Vklop_Elektro_Grelci_za_SV
672,#2_Temperatura_SV_z_EH_VISJA
673,#2_Temperatura_SV_z_EH_NIZJA
674,#2_Pogoj_maska_El_Gr_za_SV
675,#2_Pogoj_maska_El_Gr_za_SV_NE
